City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2021-10-22 00:57:31,-21.3585,55.7679,71.19,77,1,8.16
1,Kurtalan,TR,2021-10-22 00:57:32,37.9272,41.7028,44.82,34,0,3.11
2,Albany,US,2021-10-22 00:57:04,42.6001,-73.9662,62.31,75,6,4.16
3,Payo,ID,2021-10-22 00:57:32,-3.7508,103.6372,76.98,89,100,0.36
4,Alice Springs,AU,2021-10-22 00:57:33,-23.7,133.8833,87.35,16,0,13.8
5,Barrow,US,2021-10-22 00:57:33,71.2906,-156.7887,28.42,93,90,4.61
6,Ilo,PE,2021-10-22 00:57:33,-17.6394,-71.3375,60.82,83,39,4.29
7,Kaitangata,NZ,2021-10-22 00:57:34,-46.2817,169.8464,60.1,55,0,8.9
8,Bellavista,PE,2021-10-22 00:57:34,-7.0561,-76.5911,83.48,86,100,1.74
9,Yulara,AU,2021-10-22 00:57:34,-25.2406,130.9889,85.84,16,0,9.22
10,Atuona,PF,2021-10-22 00:57:35,-9.8,-139.0333,77.88,77,17,18.05
11,Nikolskoye,RU,2021-10-22 00:57:35,59.7035,30.7861,52.88,72,100,17.45
12,Ushuaia,AR,2021-10-22 00:56:55,-54.8,-68.3,38.86,81,40,20.71
13,Rocha,UY,2021-10-22 00:57:36,-34.4833,-54.3333,51.4,91,0,6.71
14,Merauke,ID,2021-10-22 00:57:36,-8.4667,140.3333,85.86,64,21,6.73
15,Waitati,NZ,2021-10-22 00:57:36,-45.75,170.5667,55.8,67,4,9.98
16,Okhotsk,RU,2021-10-22 00:57:37,59.3833,143.3,17.83,63,83,5.77
17,Yellowknife,CA,2021-10-22 00:57:37,62.456,-114.3525,43.41,71,20,14.97
18,Calvinia,ZA,2021-10-22 00:57:37,-31.4707,19.776,52.38,92,78,8.79
19,Hilo,US,2021-10-22 00:53:27,19.7297,-155.09,82.27,69,3,4.0
20,Punta Arenas,CL,2021-10-22 00:57:08,-53.15,-70.9167,44.71,57,40,14.97
21,Mana,GF,2021-10-22 00:57:38,5.6592,-53.7767,79.34,87,100,9.57
22,Acapulco,MX,2021-10-22 00:57:38,16.8634,-99.8901,80.28,82,100,1.74
23,Severobaykalsk,RU,2021-10-22 00:57:39,55.65,109.3167,33.35,73,22,3.42
24,Jamestown,US,2021-10-22 00:57:05,42.097,-79.2353,58.08,95,75,14.0
25,Robertsport,LR,2021-10-22 00:57:39,6.7533,-11.3686,79.05,82,100,6.11
26,Nagold,DE,2021-10-22 00:57:39,48.5498,8.7237,47.16,79,49,3.4
27,Isangel,VU,2021-10-22 00:57:40,-19.55,169.2667,82.51,69,75,0.0
28,Changde,CN,2021-10-22 00:57:40,29.0464,111.6783,57.97,79,100,4.0
29,Airai,TL,2021-10-22 00:57:40,-8.9266,125.4092,78.75,38,79,1.3
30,Katsuura,JP,2021-10-22 00:57:41,35.1333,140.3,55.42,89,100,17.36
31,Belmonte,BR,2021-10-22 00:57:41,-15.8631,-38.8828,72.1,91,100,10.92
32,Victoria,HK,2021-10-22 00:56:17,22.2855,114.1577,67.24,81,100,1.01
33,Tongzi,CN,2021-10-22 00:57:42,28.7829,105.0877,54.61,93,100,2.37
34,Port Alfred,ZA,2021-10-22 00:57:42,-33.5906,26.891,65.35,81,100,2.39
35,Policoro,IT,2021-10-22 00:57:43,40.2115,16.6726,61.9,81,10,3.87
36,Bredasdorp,ZA,2021-10-22 00:57:43,-34.5322,20.0403,61.92,82,100,16.11
37,Busselton,AU,2021-10-22 00:57:43,-33.65,115.3333,59.04,55,7,3.27
38,New Norfolk,AU,2021-10-22 00:57:37,-42.7826,147.0587,68.67,56,100,1.99
39,Lensk,RU,2021-10-22 00:57:44,60.7253,114.9278,36.18,87,76,10.11
40,Axim,GH,2021-10-22 00:57:44,4.8699,-2.2405,77.86,88,100,6.76
41,Norman Wells,CA,2021-10-22 00:57:45,65.282,-126.8329,39.24,70,20,4.61
42,Cayenne,GF,2021-10-22 00:57:45,4.9333,-52.3333,82.09,83,75,3.0
43,North Platte,US,2021-10-22 00:57:45,41.1239,-100.7654,55.26,62,7,4.0
44,Rikitea,PF,2021-10-22 00:57:46,-23.1203,-134.9692,74.07,81,56,23.76
45,Codrington,AU,2021-10-22 00:57:46,-38.2667,141.9667,63.59,75,75,8.75
46,Tiksi,RU,2021-10-22 00:57:46,71.6872,128.8694,8.78,94,100,10.02
47,Avarua,CK,2021-10-22 00:57:47,-21.2078,-159.775,77.05,65,93,10.36
48,Huarmey,PE,2021-10-22 00:57:47,-10.0681,-78.1522,64.62,85,100,8.63
49,Hobart,AU,2021-10-22 00:57:47,-42.8794,147.3294,69.03,64,75,5.01
50,Reggello,IT,2021-10-22 00:57:48,43.6801,11.5293,62.1,66,100,4.41
51,Dikson,RU,2021-10-22 00:57:48,73.5069,80.5464,22.98,73,100,10.11
52,Kapaa,US,2021-10-22 00:57:48,22.0752,-159.319,82.38,68,2,3.0
53,Husavik,IS,2021-10-22 00:57:49,66.0449,-17.3389,28.31,75,100,2.59
54,Bekhtery,UA,2021-10-22 00:57:49,46.251,32.2927,55.99,83,4,18.07
55,Bambous Virieux,MU,2021-10-22 00:57:50,-20.3428,57.7575,74.21,79,71,11.01
56,Georgetown,MY,2021-10-22 00:57:50,5.4112,100.3354,81.9,86,20,1.99
57,Cabo San Lucas,MX,2021-10-22 00:55:20,22.8909,-109.9124,83.52,74,0,4.0
58,Qaanaaq,GL,2021-10-22 00:57:51,77.484,-69.3632,0.09,74,0,8.14
59,Castro,BR,2021-10-22 00:57:51,-24.7911,-50.0119,51.3,93,0,5.46
60,Honningsvag,NO,2021-10-22 00:57:51,70.9821,25.9704,37.76,55,100,27.45
61,East London,ZA,2021-10-22 00:57:52,-33.0153,27.9116,68.05,87,99,3.29
62,Buala,SB,2021-10-22 00:57:52,-8.145,159.5921,82.24,76,100,6.87
63,Ikom,NG,2021-10-22 00:57:52,5.9667,8.7063,73.54,99,100,1.81
64,Vaini,TO,2021-10-22 00:57:53,-21.2,-175.2,80.76,78,40,11.5
65,Baykit,RU,2021-10-22 00:57:53,61.67,96.37,33.37,91,100,3.22
66,Antsohihy,MG,2021-10-22 00:57:53,-14.8796,47.9875,72.86,89,1,2.55
67,El Alto,PE,2021-10-22 00:57:54,-4.2714,-81.2147,63.82,87,86,11.61
68,North Bend,US,2021-10-22 00:57:54,43.4065,-124.2243,56.91,97,90,6.91
69,Ambon,ID,2021-10-22 00:57:54,-3.6954,128.1814,82.54,89,40,1.14
70,Bartlesville,US,2021-10-22 00:57:55,36.7473,-95.9808,61.02,76,87,4.81
71,Sibolga,ID,2021-10-22 00:57:55,1.7427,98.7792,80.19,77,91,1.39
72,Provideniya,RU,2021-10-22 00:57:55,64.3833,-173.3,28.51,59,0,8.95
73,Thompson,CA,2021-10-22 00:57:11,55.7435,-97.8558,30.36,93,90,6.91
74,Jizan,SA,2021-10-22 00:57:56,17.3333,42.6667,83.34,61,90,1.07
75,Mahesana,IN,2021-10-22 00:57:56,23.6,72.4,71.15,73,0,4.12
76,Trairi,BR,2021-10-22 00:55:36,-3.2778,-39.2689,79.52,80,100,9.33
77,Cape Town,ZA,2021-10-22 00:55:16,-33.9258,18.4232,61.21,71,20,5.99
78,Vanimo,PG,2021-10-22 00:57:57,-2.6741,141.3028,83.97,70,72,3.69
79,Talnakh,RU,2021-10-22 00:57:57,69.4865,88.3972,24.66,97,100,2.75
80,Upernavik,GL,2021-10-22 00:57:57,72.7868,-56.1549,21.78,93,100,7.96
81,Mataura,NZ,2021-10-22 00:57:58,-46.1927,168.8643,66.88,37,0,2.19
82,Namatanai,PG,2021-10-22 00:57:58,-3.6667,152.4333,84.04,71,100,5.55
83,Maharajganj,IN,2021-10-22 00:57:58,27.1333,83.5667,69.98,84,0,2.42
84,Geraldton,AU,2021-10-22 00:57:40,-28.7667,114.6,68.41,52,0,14.97
85,Princeton,US,2021-10-22 00:57:00,25.5384,-80.4089,81.01,80,1,1.99
86,Tuktoyaktuk,CA,2021-10-22 00:57:59,69.4541,-133.0374,28.4,93,40,5.75
87,Molina,CL,2021-10-22 00:58:00,-35.1167,-71.2833,60.53,100,100,4.61
88,Saldanha,ZA,2021-10-22 00:58:00,-33.0117,17.9442,59.05,81,100,18.3
89,Severo-Kurilsk,RU,2021-10-22 00:58:00,50.6789,156.125,39.7,64,99,9.28
90,Tasiilaq,GL,2021-10-22 00:57:40,65.6145,-37.6368,27.77,69,99,6.91
91,Arraial Do Cabo,BR,2021-10-22 00:58:01,-22.9661,-42.0278,66.16,82,75,0.0
92,Ancud,CL,2021-10-22 00:58:01,-41.8697,-73.8203,47.73,84,96,5.35
93,Lebu,CL,2021-10-22 00:58:02,-37.6167,-73.65,49.86,71,0,16.24
94,Shaowu,CN,2021-10-22 00:58:02,27.3409,117.4831,55.42,93,100,1.74
95,Mar Del Plata,AR,2021-10-22 00:57:23,-38.0023,-57.5575,66.22,86,0,18.99
96,Ucluelet,CA,2021-10-22 00:53:04,48.9329,-125.5528,54.09,92,100,3.0
97,Ongandjera,NA,2021-10-22 00:58:03,-17.8833,15.0667,61.0,30,6,7.43
98,Mandalgovi,MN,2021-10-22 00:58:04,45.7625,106.2708,33.01,37,27,6.93
99,Nata,PA,2021-10-22 00:58:04,8.3333,-80.5167,75.47,91,100,3.31
100,Bengkulu,ID,2021-10-22 00:58:05,-3.8004,102.2655,77.54,86,100,1.16
101,Maniitsoq,GL,2021-10-22 00:58:05,65.4167,-52.9,31.55,59,1,10.02
102,Esso,RU,2021-10-22 00:58:05,55.9333,158.7,22.08,85,83,4.74
103,Berlevag,NO,2021-10-22 00:58:06,70.8578,29.0864,35.35,54,100,23.8
104,Zlobin,HR,2021-10-22 00:58:06,45.2924,14.6541,53.38,91,75,2.3
105,Saskylakh,RU,2021-10-22 00:58:06,71.9167,114.0833,-0.44,100,98,3.27
106,Astana,KZ,2021-10-22 00:53:15,51.1801,71.446,31.95,86,75,13.42
107,Prince Rupert,CA,2021-10-22 00:57:31,54.3161,-130.3201,51.49,87,90,5.75
108,Boende,CD,2021-10-22 00:58:07,-0.2167,20.8667,69.57,100,100,0.74
109,Boa Vista,BR,2021-10-22 00:55:09,2.8197,-60.6733,78.78,83,40,3.44
110,Kirensk,RU,2021-10-22 00:58:08,57.7853,108.1119,31.95,83,33,4.76
111,Zhanaozen,KZ,2021-10-22 00:58:08,43.3,52.8,42.96,81,18,9.01
112,Biltine,TD,2021-10-22 00:58:09,14.5333,20.9167,80.73,24,100,3.76
113,Waipawa,NZ,2021-10-22 00:58:09,-41.4122,175.5153,62.02,55,100,10.25
114,Sieradz,PL,2021-10-22 00:58:09,51.5958,18.7302,48.72,73,66,20.58
115,Serebryansk,KZ,2021-10-22 00:58:09,49.6925,83.2892,44.15,43,100,4.99
116,Sari,IR,2021-10-22 00:58:10,36.5633,53.0601,51.96,78,0,4.29
117,La Peca,PE,2021-10-22 00:58:10,-5.6111,-78.435,70.3,87,100,2.44
118,Columbus,US,2021-10-22 00:56:45,39.9612,-82.9988,55.33,75,40,3.0
119,Quatre Cocos,MU,2021-10-22 00:58:11,-20.2078,57.7625,74.08,79,61,10.6
120,Itacarambi,BR,2021-10-22 00:54:13,-15.1022,-44.0919,74.55,84,100,3.47
121,Denpasar,ID,2021-10-22 00:55:07,-8.65,115.2167,82.06,83,75,12.66
122,Nanakuli,US,2021-10-22 00:58:11,21.3906,-158.1547,82.04,74,68,6.33
123,Barcelos,PT,2021-10-22 00:56:27,41.5388,-8.6151,53.92,87,0,4.99
124,Olinda,BR,2021-10-22 00:58:12,-8.0089,-34.8553,82.13,69,40,6.91
125,Hermanus,ZA,2021-10-22 00:54:14,-34.4187,19.2345,59.9,74,100,15.99
126,Waingapu,ID,2021-10-22 00:58:12,-9.6567,120.2641,86.09,58,69,3.76
127,Valparaiso,CL,2021-10-22 00:56:57,-33.0393,-71.6273,60.44,67,0,3.44
128,San Patricio,US,2021-10-22 00:58:13,28.017,-97.5169,79.84,65,26,7.65
129,Los Llanos De Aridane,ES,2021-10-22 00:58:13,28.6585,-17.9182,72.12,46,20,1.99
130,Mahebourg,MU,2021-10-22 00:55:09,-20.4081,57.7,74.25,81,60,10.83
131,Camacha,PT,2021-10-22 00:58:14,33.0833,-16.3333,67.42,68,40,12.66
132,Butaritari,KI,2021-10-22 00:58:08,3.0707,172.7902,82.85,71,25,13.0
133,Juneau,US,2021-10-22 00:56:52,58.3019,-134.4197,50.85,85,100,4.88
134,Souillac,MU,2021-10-22 00:57:39,-20.5167,57.5167,74.35,83,6,8.05
135,Carnarvon,AU,2021-10-22 00:58:15,-24.8667,113.6333,68.07,60,0,21.85
136,Port Elizabeth,ZA,2021-10-22 00:56:32,-33.918,25.5701,64.69,88,75,5.75
137,Itaituba,BR,2021-10-22 00:58:15,-4.2761,-55.9836,75.25,96,100,1.61
138,Turukhansk,RU,2021-10-22 00:58:15,65.8167,87.9833,33.57,96,100,9.51
139,Ponta Do Sol,PT,2021-10-22 00:58:16,32.6667,-17.1,70.43,65,46,5.14
140,Kruisfontein,ZA,2021-10-22 00:58:16,-34.0033,24.7314,60.89,89,100,5.59
141,Chokurdakh,RU,2021-10-22 00:58:16,70.6333,147.9167,-12.62,95,49,3.71
142,Meulaboh,ID,2021-10-22 00:58:17,4.1363,96.1285,77.81,87,79,3.22
143,Esperance,AU,2021-10-22 00:58:17,-33.8667,121.9,60.64,65,100,14.38
144,Emerald,AU,2021-10-22 00:58:10,-23.5333,148.1667,88.34,54,1,12.66
145,Faanui,PF,2021-10-22 00:58:18,-16.4833,-151.75,79.74,72,4,8.32
146,Yerbogachen,RU,2021-10-22 00:58:18,61.2767,108.0108,31.62,92,55,7.23
147,Mareeba,AU,2021-10-22 00:58:18,-17.0,145.4333,81.48,46,13,7.54
148,Sungaipenuh,ID,2021-10-22 00:58:19,-2.0833,101.3833,71.24,81,57,0.87
149,Adrar,MR,2021-10-22 00:58:19,20.5022,-10.0711,71.37,20,0,8.75
150,Kollam,IN,2021-10-22 00:58:19,8.8833,76.6,78.67,87,100,2.68
151,Illapel,CL,2021-10-22 00:58:20,-31.6308,-71.1653,57.31,75,0,2.13
152,Deputatskiy,RU,2021-10-22 00:58:20,69.3,139.9,-3.51,99,100,3.47
153,Salalah,OM,2021-10-22 00:58:21,17.0151,54.0924,72.28,78,37,1.68
154,Taoudenni,ML,2021-10-22 00:58:21,22.6783,-3.9836,75.58,29,0,10.49
155,Longyearbyen,SJ,2021-10-22 00:58:21,78.2186,15.6401,15.64,86,20,3.44
156,Ilhabela,BR,2021-10-22 00:58:22,-23.7781,-45.3581,65.86,86,100,8.84
157,Wewak,PG,2021-10-22 00:58:22,-3.5534,143.6268,85.15,65,94,2.64
158,Lasa,IT,2021-10-22 00:58:22,46.6166,10.7002,47.62,90,10,4.27
159,Kiunga,PG,2021-10-22 00:58:23,-6.1219,141.2906,91.94,53,90,0.96
160,Searcy,US,2021-10-22 00:58:23,35.2506,-91.7363,65.97,63,0,7.45
161,Naze,JP,2021-10-22 00:58:23,28.3667,129.4833,68.92,70,100,18.25
162,Atambua,ID,2021-10-22 00:58:24,-9.1061,124.8925,87.6,51,81,3.44
163,Solvychegodsk,RU,2021-10-22 00:58:24,61.3305,46.9156,42.42,99,100,6.31
164,Blackwater,AU,2021-10-22 00:58:25,-23.5833,148.8833,90.9,39,3,11.14
165,Hamilton,US,2021-10-22 00:58:25,39.1834,-84.5333,57.04,74,100,1.99
166,Palmer,US,2021-10-22 00:57:30,42.1584,-72.3287,63.21,73,86,5.01
167,Opuwo,NA,2021-10-22 00:58:25,-18.0607,13.84,61.81,29,7,8.57
168,Kavaratti,IN,2021-10-22 00:58:26,10.5669,72.642,81.72,78,99,9.75
169,Kemin,KG,2021-10-22 00:58:26,42.7846,75.6892,35.31,99,100,5.32
170,Sao Filipe,CV,2021-10-22 00:58:26,14.8961,-24.4956,81.3,63,0,4.29
171,Yinchuan,CN,2021-10-22 00:58:27,38.4681,106.2731,48.0,28,100,3.22
172,Torbay,CA,2021-10-22 00:58:27,47.6666,-52.7314,46.76,83,75,13.8
173,Kahului,US,2021-10-22 00:54:41,20.8947,-156.47,83.46,79,79,11.99
174,Elko,US,2021-10-22 00:58:28,41.0002,-115.5012,63.05,35,36,4.45
175,Kasangulu,CD,2021-10-22 00:58:28,-4.5911,15.1708,77.94,94,100,0.85
176,Taseyevo,RU,2021-10-22 00:58:29,57.2169,94.8978,37.99,63,93,3.38
177,Hirara,JP,2021-10-22 00:58:29,24.8,125.2833,73.67,94,75,14.97
178,Sao Joao Da Barra,BR,2021-10-22 00:58:29,-21.6403,-41.0511,67.35,75,97,4.81
179,Klaksvik,FO,2021-10-22 00:58:30,62.2266,-6.589,40.12,67,97,33.04
180,Riosucio,CO,2021-10-22 00:54:13,5.4216,-75.7032,61.23,98,91,1.83
181,Pacific Grove,US,2021-10-22 00:58:30,36.6177,-121.9166,70.02,90,75,1.01
182,Kumba,CM,2021-10-22 00:58:30,4.6363,9.4469,71.46,98,100,1.07
183,Puerto Ayora,EC,2021-10-22 00:57:47,-0.7393,-90.3518,70.27,87,57,7.49
184,Pacifica,US,2021-10-22 00:53:54,37.6138,-122.4869,71.26,88,75,1.99
185,Biak,ID,2021-10-22 00:58:31,-0.9131,122.8766,80.64,73,100,3.85
186,Grindavik,IS,2021-10-22 00:58:31,63.8424,-22.4338,39.67,56,75,5.75
187,Hithadhoo,MV,2021-10-22 00:57:39,-0.6,73.0833,81.63,73,99,7.16
188,Coquimbo,CL,2021-10-22 00:58:14,-29.9533,-71.3436,56.93,82,0,3.44
189,Onda,ES,2021-10-22 00:58:32,39.9667,-0.25,66.15,62,100,4.61
190,Nanortalik,GL,2021-10-22 00:58:33,60.1432,-45.2371,42.1,54,100,11.97
191,Caconda,AO,2021-10-22 00:58:33,-13.7333,15.0667,63.36,79,100,1.74
192,Winslow,US,2021-10-22 00:58:33,35.0242,-110.6974,65.97,27,24,6.02
193,Kavieng,PG,2021-10-22 00:58:34,-2.5744,150.7967,82.62,75,100,8.99
194,Smithers,CA,2021-10-22 00:55:24,54.7804,-127.1743,43.12,93,90,5.75
195,Junction City,US,2021-10-22 00:58:34,39.0286,-96.8314,55.8,59,100,1.01
196,Ulaangom,MN,2021-10-22 00:58:34,49.9811,92.0667,30.67,58,10,2.33
197,Pak Phanang,TH,2021-10-22 00:58:35,8.3511,100.202,84.07,76,100,2.01
198,Verkhnevilyuysk,RU,2021-10-22 00:58:35,63.4453,120.3167,32.77,91,90,6.44
199,Abu Kamal,SY,2021-10-22 00:58:35,34.4506,40.9171,66.76,32,0,5.3
200,Roald,NO,2021-10-22 00:58:36,62.5833,6.1333,43.32,65,40,23.02
201,Muisne,EC,2021-10-22 00:58:36,0.6,-80.0333,75.38,87,98,9.89
202,Port Macquarie,AU,2021-10-22 00:58:37,-31.4333,152.9167,74.89,66,7,6.89
203,Pangody,RU,2021-10-22 00:58:37,65.85,74.4859,26.71,83,55,5.73
204,Namibe,AO,2021-10-22 00:58:37,-15.1961,12.1522,64.62,71,50,8.41
205,San Cristobal,VE,2021-10-22 00:58:37,7.7669,-72.225,71.78,98,27,2.13
206,Teluk Intan,MY,2021-10-22 00:58:38,4.0259,101.0213,77.38,89,100,2.08
207,Kandalaksha,RU,2021-10-22 00:58:38,67.162,32.4123,30.24,83,100,11.23
208,Hualmay,PE,2021-10-22 00:58:38,-11.0964,-77.6139,63.75,83,88,7.99
209,Anadyr,RU,2021-10-22 00:58:39,64.75,177.4833,23.5,93,75,2.24
210,Ayan,RU,2021-10-22 00:58:39,56.45,138.1667,37.51,53,8,7.27
211,Nuevitas,CU,2021-10-22 00:58:40,21.5453,-77.2644,78.57,86,29,8.55
212,Breves,BR,2021-10-22 00:58:40,-1.6822,-50.4803,75.27,94,99,4.56
213,Zhangzhou,CN,2021-10-22 00:58:40,24.5133,117.6556,69.15,92,100,3.49
214,Kendari,ID,2021-10-22 00:58:41,-3.945,122.4989,83.7,72,100,2.21
215,Troitskoye,RU,2021-10-22 00:58:41,52.9821,84.6757,46.72,52,100,7.67
216,Ribeira Grande,PT,2021-10-22 00:57:50,38.5167,-28.7,68.92,71,35,12.26
217,Zyryanka,RU,2021-10-22 00:58:41,65.75,150.85,3.54,73,10,8.41
218,Luderitz,NA,2021-10-22 00:58:42,-26.6481,15.1594,55.53,87,11,8.21
219,Kpandu,GH,2021-10-22 00:58:42,6.9954,0.2931,75.92,90,98,3.89
220,Kunya,NG,2021-10-22 00:58:43,12.2233,8.5325,80.76,65,54,6.91
221,Vao,NC,2021-10-22 00:58:43,-22.6667,167.4833,72.63,78,86,11.27
222,Ilulissat,GL,2021-10-22 00:58:43,69.2167,-51.1,13.98,94,23,7.05
223,Millet,CA,2021-10-22 00:58:44,53.1001,-113.4687,46.06,53,0,8.9
224,Bluff,NZ,2021-10-22 00:58:44,-46.6,168.3333,52.95,63,0,9.71
225,Polson,US,2021-10-22 00:58:44,47.6936,-114.1632,52.41,65,67,2.55
226,Iwaki,JP,2021-10-22 00:58:45,37.05,140.8833,56.77,77,96,4.09
227,Arlit,NE,2021-10-22 00:58:45,18.7369,7.3853,84.24,15,0,7.65
228,Senanga,ZM,2021-10-22 00:58:45,-16.1167,23.2667,69.28,72,100,3.89
229,Tilichiki,RU,2021-10-22 00:58:46,60.4667,166.1,13.84,79,16,5.14
230,Hohhot,CN,2021-10-22 00:58:46,40.8106,111.6522,30.49,64,0,6.71
231,Itapirapua,BR,2021-10-22 00:58:47,-15.8233,-50.6133,77.7,65,40,3.74
232,Bjornevatn,NO,2021-10-22 00:58:47,69.6672,29.9847,34.14,60,40,20.71
233,Socorro,US,2021-10-22 00:58:47,31.6546,-106.3033,82.18,19,20,3.44
234,Clyde River,CA,2021-10-22 00:58:48,70.4692,-68.5914,19.31,84,30,6.06
235,Vargashi,RU,2021-10-22 00:58:48,55.3556,65.8467,30.69,77,100,14.54
236,Haines Junction,CA,2021-10-22 00:58:48,60.7522,-137.5108,44.55,53,100,2.3
237,Tandil,AR,2021-10-22 00:58:49,-37.3217,-59.1332,62.15,82,100,1.92
238,Pizarro,CO,2021-10-22 00:58:49,4.9533,-77.366,75.6,89,96,4.16
239,Greenville,US,2021-10-22 00:56:20,35.6127,-77.3663,70.14,66,1,10.36
240,Hay River,CA,2021-10-22 00:58:49,60.8156,-115.7999,48.18,46,20,8.05
241,Te Anau,NZ,2021-10-22 00:57:37,-45.4167,167.7167,60.17,56,13,2.26
242,Todos Santos,MX,2021-10-22 00:58:50,23.45,-110.2167,83.01,79,0,8.52
243,Sfantu Gheorghe,RO,2021-10-22 00:58:18,45.8667,25.7833,53.26,67,36,3.04
244,Chubbuck,US,2021-10-22 00:58:51,42.9208,-112.4661,59.45,42,46,7.0
245,Rivera,UY,2021-10-22 00:58:51,-30.9053,-55.5508,54.77,85,0,4.97
246,Hereford,GB,2021-10-22 00:58:52,52.0568,-2.7148,47.75,86,16,7.14
247,Bilma,NE,2021-10-22 00:58:52,18.6853,12.9164,79.93,19,27,10.0
248,Windhoek,NA,2021-10-22 00:58:52,-22.5594,17.0832,53.8,35,0,3.44
249,Mumford,GH,2021-10-22 00:58:53,5.2618,-0.759,77.45,90,99,9.8
250,Lompoc,US,2021-10-22 00:58:20,34.6391,-120.4579,67.57,86,40,8.05
251,Nhulunbuy,AU,2021-10-22 00:55:16,-12.2333,136.7667,90.21,58,0,9.22
252,Sarahan,IN,2021-10-22 00:58:53,31.5167,77.8,49.41,39,6,5.97
253,Richards Bay,ZA,2021-10-22 00:58:54,-28.783,32.0377,67.77,85,100,16.46
254,Sinnamary,GF,2021-10-22 00:58:54,5.3833,-52.95,79.14,87,65,10.87
255,Taiyuan,CN,2021-10-22 00:58:55,37.8694,112.5603,40.86,56,0,2.24
256,San Juan,AR,2021-10-22 00:58:02,-31.5375,-68.5364,74.57,22,3,2.86
257,Ayagoz,KZ,2021-10-22 00:58:55,47.9714,80.4392,45.73,80,100,9.13
258,Rajula,IN,2021-10-22 00:58:55,21.05,71.4333,72.64,73,1,7.14
259,Capreol,CA,2021-10-22 00:58:56,46.706,-80.9225,34.27,92,40,1.99
260,Nuuk,GL,2021-10-22 00:58:56,64.1835,-51.7216,31.44,53,100,16.51
261,Sawtell,AU,2021-10-22 00:58:57,-30.3833,153.1,76.19,77,90,8.05
262,Hovd,MN,2021-10-22 00:58:57,48.0056,91.6419,33.3,43,6,1.19
263,Puerto De La Cruz,ES,2021-10-22 00:58:57,28.414,-16.5487,73.36,78,43,1.01
264,Port Lincoln,AU,2021-10-22 00:58:58,-34.7333,135.8667,64.13,64,98,5.97
265,Zaragoza,ES,2021-10-22 00:58:58,41.6561,-0.8773,56.01,71,20,5.99
266,Khatanga,RU,2021-10-22 00:58:58,71.9667,102.5,-4.79,100,95,3.27
267,Nizwa,OM,2021-10-22 00:58:16,22.9333,57.5333,74.19,57,4,1.3
268,Necochea,AR,2021-10-22 00:58:59,-38.5473,-58.7368,59.04,86,100,5.14
269,Chuy,UY,2021-10-22 00:58:59,-33.6971,-53.4616,54.86,87,0,4.99
270,Smestad,NO,2021-10-22 00:58:59,59.9333,10.6667,44.02,52,100,9.31
271,Kieta,PG,2021-10-22 00:59:00,-6.2167,155.6333,82.72,77,100,7.27
272,Marawi,PH,2021-10-22 00:59:00,7.9986,124.2928,74.64,75,89,3.4
273,Makhachkala,RU,2021-10-22 00:59:01,42.9764,47.5024,40.98,68,0,7.4
274,Bertoua,CM,2021-10-22 00:59:01,4.5833,13.6833,67.08,97,100,2.04
275,Pavlovsk,RU,2021-10-22 00:59:01,50.4578,40.1081,50.76,59,70,18.63
276,Berdigestyakh,RU,2021-10-22 00:59:02,62.0989,126.6992,35.17,88,100,10.8
